Segundos(s),Canal 1(V),Canal 2(V)
-25.00000E-03,+2.30920228E+00,+1.61667712E+00
-24.97500E-03,+2.12684518E+00,+1.61569565E+00
-24.95000E-03,+1.96215454E+00,+1.63654207E+00
-24.92500E-03,+1.76546798E+00,+1.60701946E+00
-24.90000E-03,+1.59076634E+00,+1.61259420E+00
-24.87500E-03,+1.41763506E+00,+1.64282347E+00
-24.85000E-03,+1.23861496E+00,+1.59053076E+00
-24.82500E-03,+1.06921326E+00,+1.67081499E+00
-24.80000E-03,+883.32287E-03,+1.60788315E+00
-24.77500E-03,+711.76194E-03,+1.62017115E+00
-24.75000E-03,+531.56407E-03,+1.62923993E+00
-24.72500E-03,+356.07726E-03,+1.63312655E+00
-24.70000E-03,+175.09422E-03,+1.63128139E+00
-24.67500E-03,-0.0E+00,+1.63567837E+00
-24.65000E-03,-171.16834E-03,+1.60819722E+00
-24.62500E-03,-349.20698E-03,+1.68620444E+00
-24.60000E-03,-539.41583E-03,+1.56328516E+00
-24.57500E-03,-704.10648E-03,+1.67372015E+00
-24.55000E-03,-894.70792E-03,+1.61856154E+00
-24.52500E-03,-1.08275755E+00,+1.63846575E+00
-24.50000E-03,-1.25549624E+00,+1.64494345E+00
-24.47500E-03,-1.45002357E+00,+1.63418654E+00
-24.45000E-03,-1.64298054E+00,+1.62649182E+00
-24.42500E-03,-1.81238224E+00,+1.66260991E+00
-24.40000E-03,-2.01240579E+00,+1.59814697E+00
-24.37500E-03,-2.18985554E+00,+1.66590765E+00
-24.35000E-03,-2.36848306E+00,+1.61173051E+00
-24.32500E-03,-2.54495134E+00,+1.64824119E+00
-24.30000E-03,-2.73476761E+00,+1.62201631E+00
-24.27500E-03,-2.91594694E+00,+1.63528579E+00
-24.25000E-03,-3.11440015E+00,+1.63402951E+00
-24.22500E-03,-3.30755342E+00,+1.60980683E+00
-24.20000E-03,-3.49795857E+00,+1.66001883E+00
-24.17500E-03,-3.67737126E+00,+1.63799464E+00
-24.15000E-03,-3.86816900E+00,+1.59681217E+00
-24.12500E-03,-4.04071140E+00,+1.65381594E+00
-24.10000E-03,-4.23209802E+00,+1.62201631E+00
-24.07500E-03,-4.41798841E+00,+1.61416456E+00
-24.05000E-03,-4.59759740E+00,+1.65420852E+00
-24.02500E-03,-4.79663948E+00,+1.60054175E+00
-24.00000E-03,-4.98822240E+00,+1.67478013E+00
-23.97500E-03,-5.18294602E+00,+1.58228642E+00
-23.95000E-03,-5.36981788E+00,+1.64612121E+00
-23.92500E-03,-5.55688604E+00,+1.60988535E+00
-23.90000E-03,-5.74042090E+00,+1.64038943E+00
-23.87500E-03,-5.93691116E+00,+1.60301506E+00
-23.85000E-03,-6.11259427E+00,+1.65766330E+00
-23.82500E-03,-6.29907354E+00,+1.58232567E+00
-23.80000E-03,-6.47848623E+00,+1.65593591E+00
-23.77500E-03,-6.66849880E+00,+1.60572391E+00
-23.75000E-03,-6.84045231E+00,+1.63481468E+00
-23.72500E-03,-7.02614641E+00,+1.61659860E+00
-23.70000E-03,-7.21184051E+00,+1.61997486E+00
-23.67500E-03,-7.39812349E+00,+1.61463566E+00
-23.65000E-03,-7.57576953E+00,+1.65522925E+00
