Segundos(s),Canal 1(V),Canal 2(V)
-50.15000E-03,-16.87236202E+00,-2.41206032E+00
-50.10000E-03,-16.82211076E+00,-2.61306535E+00
-50.05000E-03,-16.87236202E+00,-2.43718595E+00
-50.00000E-03,-16.87236202E+00,-2.41206032E+00
-49.95000E-03,-16.92261327E+00,-2.23618092E+00
-49.90000E-03,-16.87236202E+00,-2.43718595E+00
-49.85000E-03,-16.52060322E+00,-2.41206032E+00
-49.80000E-03,-16.92261327E+00,-2.61306535E+00
-49.75000E-03,-16.87236202E+00,-2.61306535E+00
-49.70000E-03,-16.87236202E+00,-2.23618092E+00
-49.65000E-03,-16.82211076E+00,-2.38693469E+00
-49.60000E-03,-16.87236202E+00,-2.61306535E+00
-49.55000E-03,-16.87236202E+00,-2.58793972E+00
-49.50000E-03,-16.52060322E+00,-2.58793972E+00
-49.45000E-03,-16.52060322E+00,-2.46231158E+00
-49.40000E-03,-9.53567854E+00,-1.98492464E+00
-49.35000E-03,-1.59597999E+00,-778.89448E-03
-49.30000E-03,+2.87638186E+00,+201.00503E-03
-49.25000E-03,+6.84623113E+00,+804.02011E-03
-49.20000E-03,+10.01206030E+00,+1.25628142E+00
-49.15000E-03,+12.07236183E+00,+1.80904524E+00
-49.10000E-03,+13.32864324E+00,+2.23618092E+00
-49.05000E-03,+14.48442215E+00,+2.43718595E+00
-49.00000E-03,+15.28844225E+00,+2.63819098E+00
-48.95000E-03,+15.99195985E+00,+2.61306535E+00
-48.90000E-03,+16.44422116E+00,+2.63819098E+00
-48.85000E-03,+16.14271362E+00,+2.78894475E+00
-48.80000E-03,+16.84623121E+00,+2.48743721E+00
-48.75000E-03,+16.84623121E+00,+2.21105529E+00
-48.70000E-03,+16.84623121E+00,+2.81407037E+00
-48.65000E-03,+16.44422116E+00,+2.81407037E+00
-48.60000E-03,+16.54472367E+00,+3.16582917E+00
-48.55000E-03,+16.49447241E+00,+2.78894475E+00
-48.50000E-03,+16.54472367E+00,+2.81407037E+00
-48.45000E-03,+16.84623121E+00,+2.98994977E+00
-48.40000E-03,+16.89648247E+00,+2.81407037E+00
-48.35000E-03,+16.89648247E+00,+2.86432163E+00
-48.30000E-03,+16.89648247E+00,+2.83919600E+00
-48.25000E-03,+16.89648247E+00,+2.83919600E+00
-48.20000E-03,+16.84623121E+00,+2.38693469E+00
