Tempo(s),Canal 1(V)
+1.0000E-06,+7.6381909E-03
+1.5000E-06,+61.1055270E-03
+2.0000E-06,+61.1055270E-03
+2.5000E-06,+91.6582905E-03
+3.0000E-06,+145.1256266E-03
+3.5000E-06,+122.2110540E-03
+4.0000E-06,+183.3165810E-03
+4.5000E-06,+190.9547718E-03
+5.0000E-06,+213.8693444E-03
+5.5000E-06,+244.4221079E-03
+6.0000E-06,+252.0602988E-03
+6.5000E-06,+282.6130623E-03
+7.0000E-06,+336.0803984E-03
+7.5000E-06,+366.6331619E-03
+8.0000E-06,+374.2713528E-03
+8.5000E-06,+374.2713528E-03
+9.0000E-06,+397.1859254E-03
+9.5000E-06,+435.3768798E-03
+10.0000E-06,+458.2914524E-03
+10.5000E-06,+496.4824067E-03
+11.0000E-06,+542.3115520E-03
+11.5000E-06,+549.9497429E-03
+12.0000E-06,+549.9497429E-03
+12.5000E-06,+580.5025063E-03
+13.0000E-06,+588.1406972E-03
+13.5000E-06,+641.6080333E-03
+14.0000E-06,+672.1607968E-03
+14.5000E-06,+702.7135603E-03
+15.0000E-06,+725.6281329E-03
+15.5000E-06,+733.2663238E-03
+16.0000E-06,+786.7336599E-03
+16.5000E-06,+763.8190873E-03
+17.0000E-06,+794.3718508E-03
+17.5000E-06,+824.9246143E-03
+18.0000E-06,+855.4773778E-03
+18.5000E-06,+863.1155686E-03
+19.0000E-06,+908.9447139E-03
+19.5000E-06,+916.5829048E-03
+20.0000E-06,+947.1356682E-03
+20.5000E-06,+970.0502409E-03
+21.0000E-06,+977.6884317E-03
+21.5000E-06,+1.0082411952E+00
+22.0000E-06,+1.0082411952E+00
+22.5000E-06,+1.0464321496E+00
+23.0000E-06,+1.0617085313E+00
+23.5000E-06,+1.0922612948E+00
+24.0000E-06,+1.1304522492E+00
+24.5000E-06,+1.1380904401E+00
+25.0000E-06,+1.1610050127E+00
+25.5000E-06,+1.1610050127E+00
+26.0000E-06,+1.2144723488E+00
+26.5000E-06,+1.2526633032E+00
+27.0000E-06,+1.2450251123E+00
+27.5000E-06,+1.2526633032E+00
+28.0000E-06,+1.3061306393E+00
+28.5000E-06,+1.3366834028E+00
+29.0000E-06,+1.3443215936E+00
+29.5000E-06,+1.3748743571E+00
+30.0000E-06,+1.3977889298E+00
+30.5000E-06,+1.4359798841E+00
+31.0000E-06,+1.4130653115E+00
+31.5000E-06,+1.4359798841E+00
+32.0000E-06,+1.4665326476E+00
+32.5000E-06,+1.4970854111E+00
+33.0000E-06,+1.4970854111E+00
+33.5000E-06,+1.5276381746E+00
+34.0000E-06,+1.5352763655E+00
+34.5000E-06,+1.5505527472E+00
+35.0000E-06,+1.5887437016E+00
+35.5000E-06,+1.6192964651E+00
+36.0000E-06,+1.6192964651E+00
+36.5000E-06,+1.6192964651E+00
+37.0000E-06,+1.6498492286E+00
+37.5000E-06,+1.6804019921E+00
+38.0000E-06,+1.6804019921E+00
+38.5000E-06,+1.7109547555E+00
+39.0000E-06,+1.7109547555E+00
+39.5000E-06,+1.7415075190E+00
+40.0000E-06,+1.7491457099E+00
+40.5000E-06,+1.8026130460E+00
+41.0000E-06,+1.8026130460E+00
+41.5000E-06,+1.8331658095E+00
+42.0000E-06,+1.8331658095E+00
+42.5000E-06,+1.8560803821E+00
+43.0000E-06,+1.8713567639E+00
+43.5000E-06,+1.9248241000E+00
+44.0000E-06,+1.9171859091E+00
+44.5000E-06,+1.9477386726E+00
+45.0000E-06,+1.9248241000E+00
+45.5000E-06,+1.9782914361E+00
+46.0000E-06,+1.9935678178E+00
+46.5000E-06,+1.9859296270E+00
+47.0000E-06,+2.0241205813E+00
+47.5000E-06,+2.0164823905E+00
+48.0000E-06,+2.0241205813E+00
+48.5000E-06,+2.0546733448E+00
+49.0000E-06,+2.0775879174E+00
+49.5000E-06,+2.0852261083E+00
+50.0000E-06,+2.0928642992E+00
+50.5000E-06,+2.1386934444E+00
+51.0000E-06,+2.1386934444E+00
